"","Position","Unknown","Views","Clicks"
"1","0","1005",69513,198
"2","1","1005",19206,82
"3","0","1002",5028,253
"4","0","1001",19,2
"5","2","1005",32,2
"6","2","1008",11,1
"7","0","1010",2,0
"8","1","1005",26666,94
"9","0","1005",69804,204
"10","0","1002",4948,292
"11","0","1001",6,0
"12","2","1005",48,2
"13","2","1008",12,1
"14","0","1005",1,0
"15","0","1005",85190,274
"16","1","1005",38781,96
"17","0","1002",4522,321
"18","2","1008",458,1
"19","2","1005",69,2
"20","0","1010",2,0
"21","0","1001",1,0
"22","0","1005",83884,297
"23","1","1005",42063,98
"24","0","1002",5874,314
"25","0","1012",4611,2
"26","2","1008",330,1
"27","2","1005",113,3
"28","1","1012",6,1
"29","0","1001",1,0
"30","0","1005",101894,329
"31","1","1005",54976,105
"32","0","1002",8621,487
"33","0","1012",6372,2
"34","2","1008",630,1
"35","2","1005",97,3
"36","1","1012",20,1
"37","0","1005",1,0
"38","0","1001",12,1
"39","2","1012",1,0
"40","0","1005",1,0
"41","0","1005",91655,334
"42","1","1005",58442,108
"43","0","1012",3207,2
"44","0","1002",7662,434
"45","2","1005",102,2
"46","2","1008",386,1
"47","1","1012",14,1
"48","0","1001",6,0
"49","0","1010",2,1
"50","2","1012",1,0
"51","0","1005",85206,311
"52","1","1005",60773,99
"53","0","1002",9290,503
"54","2","1008",266,1
"55","1","1012",5,1
"56","2","1005",106,2
"57","0","1005",2,0
"58","0","1012",8,1
"59","0","1001",12,1
"60","0","1005",2,1
"61","0","1005",75198,285
"62","1","1005",54269,79
"63","0","1002",10369,501
"64","2","1005",112,2
"65","2","1008",33,1
"66","0","1001",11,0
"67","0","1012",3,1
"68","1","1005",60408,79
"69","0","1005",69694,292
"70","0","1002",11133,560
"71","2","1008",22,1
"72","2","1005",88,1
"73","0","1001",7,1
"74","0","1012",6,0
"75","0","1005",2,0
"76","1","1012",3,0
"77","0","1005",77081,281
"78","1","1005",56859,103
"79","0","1002",12664,612
"80","0","1001",17,1
"81","2","1008",90,1
"82","2","1005",100,3
"83","0","1012",37,1
"84","1","1012",2,0
"85","0","1005",1,0
"86","2","1012",1,0
"87","1","1005",50925,103
"88","0","1005",68387,242
"89","0","1002",12761,556
"90","2","1008",115,1
"91","0","1012",85,1
"92","2","1005",49,4
"93","0","1001",12,0
"94","1","1012",2,1
"95","0","1005",1,0
"96","2","1012",1,0
"97","0","1005",65218,240
"98","1","1005",47477,105
"99","0","1002",11872,519
"100","2","1005",65,3
"101","2","1008",91,1
"102","0","1012",86,2
"103","0","1001",5,0
"104","1","1012",7,1
"105","1","1005",37619,99
"106","0","1005",54696,240
"107","0","1002",8337,415
"108","2","1005",100,2
"109","0","1012",113,2
"110","2","1008",44,1
"111","0","1010",1,0
"112","0","1001",6,0
"113","2","1012",1,0
"114","1","1012",1,1
"115","0","1005",66501,220
"116","0","1012",96,2
"117","1","1005",46183,107
"118","0","1002",11561,493
"119","2","1005",171,2
"120","0","1010",2,0
"121","2","1008",12,1
"122","2","1012",1,0
"123","1","1005",41364,91
"124","0","1005",62454,237
"125","0","1002",11021,449
"126","2","1005",90,2
"127","0","1012",19,2
"128","0","1001",2,0
"129","1","1012",1,0
"130","2","1012",1,0
"131","0","1005",62287,235
"132","0","1002",9405,469
"133","1","1005",43509,104
"134","2","1005",62,2
"135","0","1012",11,0
"136","0","1005",1,0
"137","1","1012",2,0
"138","0","1010",1,0
"139","2","1012",1,0
"140","0","1002",7928,409
"141","0","1005",62456,257
"142","1","1005",41045,80
"143","2","1005",104,2
"144","1","1012",3,0
"145","0","1012",22,1
"146","2","1012",1,0
"147","1","1005",40598,93
"148","0","1005",61867,269
"149","0","1002",6529,337
"150","2","1005",98,2
"151","0","1012",10,1
"152","2","1012",3,0
"153","1","1012",1,0
"154","0","1005",51358,253
"155","1","1005",32342,82
"156","0","1002",6772,336
"157","0","1012",19,2
"158","0","1010",1,0
"159","2","1005",52,3
"160","1","1012",2,0
"161","0","1005",1,0
"162","2","1012",1,0
"163","1","1005",20413,70
"164","0","1005",36416,190
"165","0","1002",6115,283
"166","2","1005",45,2
"167","0","1012",24,2
"168","2","1008",1,0
"169","1","1012",4,0
"170","0","1005",28073,177
"171","0","1002",6144,256
"172","1","1005",15999,68
"173","2","1005",23,1
"174","0","1012",35,1
"175","2","1012",2,0
"176","1","1012",2,0
"177","1","1005",13661,56
"178","0","1005",25198,147
"179","0","1002",4844,214
"180","0","1012",28,1
"181","2","1005",18,1
"182","2","1008",4,1
"183","1","1012",2,0
"184","0","1010",1,1
"185","1","1005",15015,56
"186","0","1002",4890,233
"187","0","1005",26852,132
"188","0","1012",48,2
"189","2","1005",36,2
"190","1","1012",2,0
"191","2","1008",13,1
"192","0","1001",1,0
"193","0","1005",23769,113
"194","1","1005",13101,60
"195","0","1002",4019,190
"196","0","1012",32,2
"197","2","1005",23,1
"198","1","1012",4,0
